goDivision	input	nSig
CC	corStress_down_For_MWU.csv	42
CC	corStress_up_For_MWU.csv	43
CC	lowStress_down_For_MWU.csv	31
CC	lowStress_up_For_MWU.csv	12
CC	redMembership_ForMWU.csv	85
CC	stressDAPC_ForMWU.csv	11
MF	corStress_down_For_MWU.csv	53
MF	corStress_up_For_MWU.csv	42
MF	lowStress_down_For_MWU.csv	14
MF	lowStress_up_For_MWU.csv	7
MF	redMembership_ForMWU.csv	94
MF	stressDAPC_ForMWU.csv	24
BP	corStress_down_For_MWU.csv	315
BP	corStress_up_For_MWU.csv	310
BP	lowStress_down_For_MWU.csv	287
BP	lowStress_up_For_MWU.csv	57
BP	redMembership_ForMWU.csv	474
BP	stressDAPC_ForMWU.csv	180
